0 (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)
27 (0, 11, 5, 8, 2, 3, 6, 7, 1, 4, 10, 9)
28 (0, 6, 7, 10, 11, 5, 8, 2, 1, 4, 3, 9)
29 (0, 1, 8, 9, 10, 5, 6, 7, 2, 3, 4, 11)
30 (0, 1, 8, 9, 4, 5, 6, 7, 2, 3, 10, 11)
31 (0, 7, 8, 9, 10, 5, 6, 1, 2, 3, 4, 11)
32 (0, 1, 8, 11, 10, 3, 6, 7, 2, 5, 4, 9)
33 (0, 1, 8, 11, 6, 7, 10, 3, 2, 5, 4, 9)
34 (0, 1, 8, 11, 4, 3, 6, 7, 2, 5, 10, 9)
35 (0, 11, 4, 7, 8, 3, 6, 5, 10, 1, 2, 9)
36 (0, 11, 4, 7, 8, 3, 6, 1, 2, 5, 10, 9)
37 (0, 7, 8, 11, 10, 3, 6, 1, 2, 5, 4, 9)
38 (0, 7, 8, 11, 4, 3, 6, 5, 10, 1, 2, 9)
39 (0, 11, 4, 9, 8, 1, 6, 5, 10, 3, 2, 7)
40 (0, 11, 4, 9, 2, 1, 6, 5, 10, 3, 8, 7)
41 (0, 5, 4, 9, 8, 1, 6, 11, 10, 3, 2, 7)
42 (0, 1, 9, 10, 11, 7, 8, 4, 5, 6, 2, 3)
43 (0, 11, 3, 4, 8, 7, 6, 5, 9, 10, 2, 1)
44 (0, 8, 9, 10, 11, 7, 6, 2, 3, 4, 5, 1)
45 (0, 11, 3, 5, 1, 2, 4, 8, 7, 9, 10, 6)
46 (0, 8, 9, 2, 10, 11, 4, 5, 1, 6, 7, 3)
47 (0, 1, 9, 2, 10, 11, 6, 7, 3, 8, 4, 5)
48 (0, 4, 3, 8, 7, 11, 6, 10, 9, 2, 1, 5)
49 (0, 11, 1, 3, 2, 4, 6, 5, 7, 9, 10, 8)
50 (0, 11, 1, 3, 2, 4, 6, 5, 7, 9, 8, 10)
51 (0, 1, 11, 2, 4, 3, 6, 7, 5, 8, 10, 9)
52 (0, 1, 11, 2, 4, 3, 6, 5, 7, 10, 8, 9)
53 (0, 11, 1, 4, 2, 3, 6, 7, 5, 8, 10, 9)
54 (0, 10, 11, 2, 3, 1, 4, 6, 5, 8, 9, 7)
55 (0, 10, 11, 2, 3, 1, 4, 6, 5, 8, 7, 9)
56 (0, 10, 11, 2, 1, 3, 6, 4, 5, 8, 7, 9)
57 (0, 2, 1, 4, 5, 3, 6, 8, 7, 10, 9, 11)
58 (0, 1, 11, 3, 4, 2, 6, 7, 5, 9, 10, 8)
59 (0, 1, 11, 3, 4, 2, 6, 7, 5, 9, 8, 10)
60 (0, 1, 11, 3, 2, 4, 8, 10, 9, 5, 7, 6)
61 (0, 11, 1, 6, 7, 5, 10, 8, 9, 2, 4, 3)
62 (0, 11, 1, 6, 7, 5, 10, 8, 9, 4, 2, 3)
63 (0, 11, 1, 6, 5, 7, 2, 4, 3, 8, 10, 9)
64 (0, 10, 8, 9, 11, 1, 2, 4, 6, 7, 5, 3)
65 (0, 10, 8, 9, 7, 5, 6, 4, 2, 3, 1, 11)
66 (0, 2, 4, 7, 5, 3, 6, 8, 10, 1, 11, 9)
67 (0, 2, 4, 9, 11, 1, 6, 8, 10, 3, 5, 7)
68 (0, 2, 4, 9, 7, 5, 10, 8, 6, 11, 1, 3)
69 (0, 2, 5, 6, 8, 11, 10, 1, 3, 4, 7, 9)
70 (0, 10, 6, 7, 5, 1, 2, 4, 8, 9, 11, 3)
71 (0, 10, 6, 7, 11, 1, 2, 4, 8, 9, 5, 3)
72 (0, 4, 6, 7, 5, 1, 2, 10, 8, 9, 11, 3)
73 (0, 2, 6, 11, 1, 5, 10, 8, 4, 9, 7, 3)
74 (0, 2, 6, 11, 7, 5, 10, 8, 4, 9, 1, 3)
75 (0, 8, 6, 11, 1, 5, 10, 2, 4, 9, 7, 3)
76 (0, 7, 5, 6, 11, 1, 2, 4, 9, 10, 8, 3)
77 (0, 7, 5, 6, 11, 1, 2, 4, 9, 8, 10, 3)
78 (0, 7, 5, 6, 1, 11, 10, 8, 3, 4, 2, 9)
79 (0, 2, 7, 9, 11, 4, 6, 8, 1, 3, 5, 10)
80 (0, 10, 5, 7, 9, 2, 4, 6, 11, 1, 3, 8)
81 (0, 2, 7, 10, 3, 5, 8, 6, 1, 4, 9, 11)
82 (0, 2, 7, 10, 3, 5, 8, 6, 1, 4, 11, 9)
83 (0, 2, 7, 10, 5, 3, 6, 8, 1, 4, 11, 9)
84 (0, 10, 5, 8, 1, 3, 6, 4, 11, 2, 9, 7)
85 (0, 5, 7, 10, 8, 3, 6, 11, 1, 4, 2, 9)
86 (0, 5, 7, 10, 8, 3, 6, 1, 11, 2, 4, 9)
87 (0, 7, 5, 8, 10, 3, 6, 11, 1, 4, 2, 9)
88 (0, 2, 7, 11, 9, 4, 8, 6, 1, 5, 3, 10)
89 (0, 10, 5, 9, 7, 2, 6, 4, 11, 3, 1, 8)
90 (0, 7, 5, 9, 2, 4, 8, 10, 3, 11, 1, 6)
91 (0, 2, 8, 9, 3, 5, 6, 4, 10, 11, 1, 7)
92 (0, 10, 4, 5, 11, 1, 2, 8, 6, 7, 9, 3)
93 (0, 6, 4, 5, 7, 1, 2, 8, 10, 11, 9, 3)
94 (0, 6, 4, 5, 11, 9, 10, 8, 2, 3, 1, 7)
95 (0, 2, 8, 11, 1, 7, 10, 4, 6, 9, 3, 5)
96 (0, 2, 8, 11, 9, 3, 6, 4, 10, 1, 7, 5)
97 (0, 2, 8, 11, 5, 7, 10, 4, 6, 9, 3, 1)
98 (0, 2, 8, 11, 5, 3, 6, 4, 10, 1, 7, 9)
99 (0, 10, 4, 7, 5, 11, 2, 8, 6, 9, 3, 1)
100 (0, 10, 4, 7, 1, 3, 6, 8, 2, 5, 11, 9)
101 (0, 6, 8, 11, 1, 7, 10, 4, 2, 5, 3, 9)
102 (0, 2, 8, 1, 7, 5, 10, 4, 6, 11, 9, 3)
103 (0, 10, 4, 9, 3, 1, 6, 8, 2, 7, 5, 11)
104 (0, 6, 8, 1, 11, 5, 10, 4, 2, 7, 9, 3)
105 (0, 6, 8, 1, 7, 9, 2, 4, 10, 3, 5, 11)
106 (0, 2, 9, 10, 5, 7, 6, 8, 3, 4, 11, 1)
107 (0, 5, 3, 4, 2, 7, 6, 11, 9, 10, 8, 1)
108 (0, 10, 3, 8, 1, 11, 6, 4, 9, 2, 7, 5)
109 (0, 7, 9, 2, 4, 11, 6, 1, 3, 8, 10, 5)
110 (0, 10, 2, 3, 1, 5, 6, 4, 8, 9, 11, 7)
111 (0, 10, 2, 3, 1, 5, 6, 4, 8, 9, 7, 11)
112 (0, 10, 2, 3, 7, 5, 6, 4, 8, 9, 1, 11)
113 (0, 8, 10, 11, 9, 1, 2, 6, 4, 5, 7, 3)
114 (0, 8, 10, 11, 9, 1, 2, 6, 4, 5, 3, 7)
115 (0, 4, 2, 3, 1, 5, 6, 10, 8, 9, 7, 11)
116 (0, 10, 2, 3, 1, 5, 6, 4, 8, 7, 11, 9)
117 (0, 8, 10, 11, 9, 1, 2, 6, 4, 3, 7, 5)
118 (0, 4, 2, 3, 1, 5, 6, 10, 8, 7, 11, 9)
119 (0, 2, 10, 11, 1, 9, 8, 4, 6, 7, 3, 5)
120 (0, 10, 2, 3, 1, 5, 4, 8, 6, 7, 11, 9)
121 (0, 2, 10, 1, 11, 3, 6, 8, 4, 7, 9, 5)
122 (0, 2, 10, 1, 11, 3, 6, 8, 4, 7, 5, 9)
123 (0, 2, 10, 1, 5, 3, 6, 8, 4, 7, 11, 9)
124 (0, 2, 10, 1, 5, 3, 6, 4, 8, 11, 7, 9)
125 (0, 10, 2, 5, 7, 3, 6, 4, 8, 11, 1, 9)
126 (0, 10, 2, 5, 7, 3, 6, 4, 8, 11, 9, 1)
127 (0, 10, 2, 5, 1, 3, 6, 8, 4, 7, 11, 9)
128 (0, 8, 10, 1, 3, 11, 2, 6, 4, 7, 9, 5)
129 (0, 8, 10, 1, 3, 11, 2, 6, 4, 7, 5, 9)
130 (0, 8, 10, 1, 11, 3, 6, 2, 4, 7, 5, 9)
131 (0, 4, 2, 5, 7, 3, 6, 10, 8, 11, 9, 1)
132 (0, 2, 10, 1, 11, 3, 6, 4, 8, 5, 9, 7)
133 (0, 10, 2, 5, 7, 3, 6, 8, 4, 1, 9, 11)
134 (0, 2, 10, 1, 3, 11, 8, 4, 6, 9, 5, 7)
135 (0, 10, 2, 5, 3, 7, 4, 8, 6, 9, 1, 11)
136 (0, 2, 10, 3, 5, 1, 6, 8, 4, 9, 11, 7)
137 (0, 2, 10, 3, 5, 1, 6, 8, 4, 9, 7, 11)
138 (0, 2, 10, 3, 11, 1, 6, 8, 4, 9, 5, 7)
139 (0, 8, 10, 3, 5, 1, 6, 2, 4, 9, 11, 7)
140 (0, 8, 10, 3, 5, 1, 6, 2, 4, 9, 7, 11)
141 (0, 4, 2, 7, 9, 5, 10, 6, 8, 1, 11, 3)
142 (0, 2, 10, 3, 5, 1, 6, 8, 4, 11, 7, 9)
143 (0, 8, 10, 3, 5, 1, 6, 2, 4, 11, 7, 9)
144 (0, 4, 2, 7, 9, 5, 10, 6, 8, 3, 11, 1)
145 (0, 2, 10, 3, 5, 1, 8, 4, 6, 11, 7, 9)
146 (0, 10, 2, 7, 5, 9, 4, 8, 6, 11, 3, 1)
147 (0, 10, 1, 6, 4, 7, 2, 5, 3, 8, 11, 9)
148 (0, 4, 7, 8, 11, 3, 2, 6, 9, 10, 1, 5)
149 (0, 8, 5, 6, 2, 11, 10, 7, 3, 4, 1, 9)
150 (0, 3, 7, 9, 5, 2, 4, 8, 11, 1, 10, 6)
151 (0, 4, 7, 10, 2, 5, 8, 11, 3, 6, 9, 1)
152 (0, 9, 5, 8, 4, 1, 10, 7, 3, 6, 2, 11)
153 (0, 9, 5, 10, 7, 3, 8, 4, 1, 6, 2, 11)
154 (0, 3, 8, 9, 6, 1, 2, 5, 10, 11, 4, 7)
155 (0, 9, 4, 5, 8, 1, 2, 11, 6, 7, 10, 3)
156 (0, 9, 4, 5, 8, 1, 2, 7, 10, 11, 6, 3)
157 (0, 5, 8, 9, 4, 1, 2, 11, 6, 7, 10, 3)
158 (0, 3, 8, 11, 4, 7, 10, 1, 6, 9, 2, 5)
159 (0, 9, 4, 7, 10, 3, 6, 11, 2, 5, 8, 1)
160 (0, 5, 8, 1, 4, 9, 2, 7, 10, 3, 6, 11)
161 (0, 7, 4, 9, 2, 5, 10, 1, 6, 11, 8, 3)
162 (0, 9, 1, 2, 11, 3, 4, 8, 5, 6, 10, 7)
163 (0, 9, 1, 3, 11, 2, 4, 8, 5, 7, 10, 6)
164 (0, 8, 11, 2, 10, 1, 4, 7, 3, 6, 9, 5)
165 (0, 9, 1, 4, 8, 5, 2, 11, 3, 6, 10, 7)
166 (0, 8, 11, 4, 7, 3, 10, 6, 9, 2, 5, 1)
167 (0, 4, 1, 6, 10, 7, 2, 11, 3, 8, 5, 9)
168 (0, 4, 8, 9, 1, 5, 6, 10, 2, 3, 7, 11)
169 (0, 4, 8, 9, 1, 5, 6, 10, 2, 3, 11, 7)
170 (0, 4, 8, 9, 1, 5, 6, 2, 10, 11, 3, 7)
171 (0, 4, 8, 9, 1, 5, 6, 2, 10, 11, 7, 3)
172 (0, 4, 8, 9, 5, 1, 2, 6, 10, 11, 7, 3)
173 (0, 4, 8, 9, 5, 1, 2, 10, 6, 7, 11, 3)
174 (0, 4, 8, 9, 5, 1, 2, 10, 6, 7, 3, 11)
175 (0, 8, 4, 5, 9, 1, 2, 6, 10, 11, 7, 3)
176 (0, 8, 4, 5, 9, 1, 2, 10, 6, 7, 3, 11)
177 (0, 8, 4, 5, 1, 9, 10, 6, 2, 3, 11, 7)
178 (0, 4, 8, 11, 3, 7, 10, 2, 6, 9, 1, 5)
179 (0, 4, 8, 11, 3, 7, 10, 2, 6, 9, 5, 1)
180 (0, 4, 8, 11, 3, 7, 10, 6, 2, 5, 9, 1)
181 (0, 4, 8, 11, 3, 7, 10, 6, 2, 5, 1, 9)
182 (0, 4, 8, 11, 7, 3, 6, 10, 2, 5, 1, 9)
183 (0, 4, 8, 11, 7, 3, 6, 2, 10, 1, 5, 9)
184 (0, 4, 8, 11, 7, 3, 6, 2, 10, 1, 9, 5)
185 (0, 8, 4, 7, 11, 3, 6, 10, 2, 5, 1, 9)
186 (0, 8, 4, 7, 11, 3, 6, 2, 10, 1, 9, 5)
187 (0, 8, 4, 7, 3, 11, 2, 10, 6, 9, 5, 1)
188 (0, 4, 8, 1, 5, 9, 2, 6, 10, 3, 7, 11)
189 (0, 4, 8, 1, 5, 9, 2, 6, 10, 3, 11, 7)
190 (0, 4, 8, 1, 5, 9, 2, 10, 6, 11, 3, 7)
191 (0, 4, 8, 1, 5, 9, 2, 10, 6, 11, 7, 3)
192 (0, 4, 8, 1, 9, 5, 10, 2, 6, 11, 7, 3)
193 (0, 4, 8, 1, 9, 5, 10, 6, 2, 7, 11, 3)
194 (0, 4, 8, 1, 9, 5, 10, 6, 2, 7, 3, 11)
195 (0, 8, 4, 9, 1, 5, 10, 2, 6, 11, 7, 3)
196 (0, 8, 4, 9, 1, 5, 10, 6, 2, 7, 3, 11)
197 (0, 8, 4, 9, 5, 1, 6, 2, 10, 3, 11, 7)
198 (0, 4, 9, 10, 2, 7, 8, 1, 5, 6, 11, 3)
199 (0, 8, 3, 4, 11, 7, 6, 2, 9, 10, 5, 1)
200 (0, 5, 9, 10, 2, 7, 6, 11, 3, 4, 8, 1)
201 (0, 8, 3, 5, 10, 2, 4, 11, 7, 9, 1, 6)
202 (0, 5, 9, 2, 7, 11, 4, 8, 1, 6, 10, 3)
203 (0, 4, 9, 2, 7, 11, 6, 10, 3, 8, 1, 5)
204 (0, 7, 3, 8, 4, 11, 6, 1, 9, 2, 10, 5)
205 (0, 6, 10, 11, 7, 1, 2, 8, 4, 5, 9, 3)
206 (0, 6, 10, 11, 7, 1, 2, 8, 4, 3, 9, 5)
207 (0, 4, 10, 11, 3, 9, 8, 2, 6, 7, 1, 5)
208 (0, 8, 2, 3, 11, 5, 4, 10, 6, 7, 1, 9)
209 (0, 4, 10, 1, 7, 3, 6, 2, 8, 11, 5, 9)
210 (0, 8, 2, 5, 11, 3, 6, 10, 4, 7, 1, 9)
211 (0, 6, 10, 1, 5, 11, 2, 8, 4, 7, 3, 9)
212 (0, 4, 10, 1, 9, 3, 6, 2, 8, 5, 11, 7)
213 (0, 8, 2, 5, 9, 3, 6, 10, 4, 1, 7, 11)
214 (0, 4, 10, 1, 5, 11, 8, 2, 6, 9, 3, 7)
215 (0, 8, 2, 5, 1, 7, 4, 10, 6, 9, 3, 11)
216 (0, 6, 2, 7, 11, 5, 10, 4, 8, 1, 9, 3)
217 (0, 6, 2, 7, 11, 5, 10, 4, 8, 3, 9, 1)
218 (0, 4, 10, 3, 7, 1, 8, 2, 6, 11, 5, 9)
219 (0, 8, 2, 7, 3, 9, 4, 10, 6, 11, 5, 1)
220 (0, 8, 1, 2, 10, 3, 4, 9, 5, 6, 11, 7)
221 (0, 8, 1, 3, 11, 4, 6, 2, 7, 9, 5, 10)
222 (0, 8, 1, 3, 10, 2, 4, 9, 5, 7, 11, 6)
223 (0, 4, 11, 2, 7, 3, 6, 10, 5, 8, 1, 9)
224 (0, 7, 11, 2, 10, 3, 6, 1, 5, 8, 4, 9)
225 (0, 7, 11, 2, 9, 1, 4, 8, 3, 6, 10, 5)
226 (0, 8, 1, 4, 9, 5, 2, 10, 3, 6, 11, 7)
227 (0, 4, 11, 3, 7, 2, 6, 10, 5, 9, 1, 8)
228 (0, 7, 11, 4, 8, 3, 10, 5, 9, 2, 6, 1)
229 (0, 5, 1, 6, 11, 7, 2, 10, 3, 8, 4, 9)
230 (0, 7, 2, 3, 10, 5, 6, 1, 8, 9, 4, 11)
231 (0, 5, 10, 1, 8, 3, 6, 11, 4, 7, 2, 9)
232 (0, 5, 10, 3, 8, 1, 6, 11, 4, 9, 2, 7)
233 (0, 5, 11, 2, 8, 3, 6, 1, 7, 10, 4, 9)
234 (0, 7, 1, 4, 10, 3, 6, 11, 5, 8, 2, 9)
235 (0, 6, 11, 2, 7, 1, 4, 10, 5, 8, 3, 9)
236 (0, 7, 1, 6, 11, 5, 10, 4, 9, 2, 8, 3)
